SMILES,Caco2,CYP1A2i_c,CYP2C9i_c,CYP2C19i_c,CYP3A4i_c,CYP2D6i_c,CYP1A2s,CYP2C9s,CYP2C19s,CYP2D6s,CYP3A4s,HLM,DLM,RLM,hERG
CC(C)C[C@H]1C(=O)NCC(=O)N(C)[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N1C,0,,,,,,,,,,,,,,
CC(C)C[C@H]1C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,0,,,,,,,,,,,,,,
O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1ccc(Br)cc1NS(=O)(=O)c1cccc2nccnc12,0,,,,,,,,,,,,,,
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,0,,,,,,,,,,,,,,
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(C)C(N)=O,0,,,,,,,,,,,,,,
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,0,,,,,,,,,,,,,,
CCCCCc1c(Cl)nc(NC(=O)NC(C)(C)C)c(=O)n1CC(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,0,,,,,,,,,,,,,,
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0,,,,,,,,,,,,,,
O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12,,,,,,,,,,,,1,,,
O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nccnc12,0,,,,,,,,,,,,,,
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,0,,,,,,,,,,,,,,
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,0,,,,,,,,,,,,,,
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)O)C(C)C,0,,,,,,,,,,,,,,
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,,0,0,0,0,0,,,,,,,,,
CN[C@@H](CCSC)C(=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,0,,,,,,,,,,,,,,
OC[C@H]1OC(OC[C@H]2OC(O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0,,,,,,,,,,,,,,
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,0,,,,,,,,,,,,,,
O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,0,,,,,,,,,,,,,,
CC(C)(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,0,,,,,,,,,,,,,,
O=C(O)CCCN1CC(C(=O)NS(=O)(=O)c2ccccc2)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,0,,,,,,,,,,,,,,
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC1=O,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CCCO[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
O=C(O)Cc1c(/C=C/C(=O)OC(Cc2ccc(O)c(O)c2)C(=O)O)ccc(O)c1O,0,,,,,,,,,,,,,,
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,0,,,,,,,,,,,,,,
Cc1cc(C(C)Nc2ccccc2-c2nn[nH]n2)c2nc(N3CCOCC3)cc(=O)n2c1,0,,,,,,,,,,,,,,
O=C(/C=C/c1ccc(O)c2c1C(C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,0,,,,,,,,,,,,,,
O=c1c(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc(O)cc(O)c12,0,,,,,,,,,,,,,,
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O,0,,,,,,,,,,,,,,
CC1NC(=O)C(CC(=O)O)NC(=O)CNC(=O)CNC(=O)C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O,0,,,,,,,,,,,,,,
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,0,,,,,,,,,,,,,,
CC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,0,,,,,,,,,,,,,,
CC(=O)Nc1cccc(/C(C)=N\NC(=O)c2ccc(CN(Cc3ccccc3)S(=O)(=O)c3ccc(Cl)cc3)cc2)c1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CN(C)CC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(C(C)(C)C)CC3)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CS(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(C4=NCCS4)CC3)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CCN1CCC(CC(=O)NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,0,,,,,,,,,,,,,,
Cc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CNC[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CNC[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
O=C(N[C@@H]1C[C@@]2(CCCO2)C[C@@H]1C(=O)NO)c1ccc(Cn2c(C3CC3)nc3ccccc32)cc1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CN(CCN(C)C)CC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
O=C(N[C@@H]1COC[C@@H]1C(=O)NO)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)cc1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3C[C@H](O)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CNC(=O)CN(C1CCCN(c2ccc(-n3ccccc3=O)cc2F)C1=O)S(=O)(=O)c1cc2ccc(Cl)nc2s1,0,,,,,,,,,,,,,,
C=CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CN(C4CCC4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(O)nccc2n1CC(=O)O,0,,,,,,,,,,,,,,
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(=O)n(C)ccc2n1CC(=O)O,0,,,,,,,,,,,,,,
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCNCC2)nc(SCc2cccc(Cl)c2F)n1,0,,,,,,,,,,,,,,
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)CN(C)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0,,,,,,,,,,,,,,
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C(=O)c4ccco4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(C)CC3)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CCC(=O)N1CCC(CC(=O)NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,0,,,,,,,,,,,,,,
CC(=O)N1CCC(CC(=O)NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,0,,,,,,,,,,,,,,
CNCc1ccccc1N1CCC(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)CC1,0,,,,,,,,,,,,,,
NC(=O)c1cc(C(=O)N2CCc3cc(-n4ccccc4=O)ccc32)n(-c2ccc3onc(N)c3c2)n1,0,,,,,,,,,,,,,,
Cc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2C[C@@]3(CCCO3)C[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccn3n(Cc3ccc(F)cc3)c1=O)=N2,0,,,,,,,,,,,,,,
CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CCC[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C(=O)OCc4nccs4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(Cc4ccccc4)CC3)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3C[C@@H](O)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(C1=C(O)C3CCCCN3N(Cc3ccc(F)cc3)C1=O)=N2,0,,,,,,,,,,,,,,
O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1cc(Cl)c(Cl)cc1NS(=O)(=O)c1cccc2nccnc12,0,,,,,,,,,,,,,,
O=C(N[C@@H](Cc1ccc(Cl)c(Br)c1)C(=O)O)c1ccc(Br)cc1NS(=O)(=O)c1cccc2nsnc12,0,,,,,,,,,,,,,,
O=C(N[C@@H](Cc1ccc(Cl)c(Br)c1)C(=O)O)c1ccc(Br)cc1NS(=O)(=O)c1cccc2nccnc12,0,,,,,,,,,,,,,,
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,0,,,,,,,,,,,,,,
Cc1cc([C@@H](C)Nc2ccccc2C(=O)NS(C)(=O)=O)c2nc(N3CCOCC3)cc(=O)n2c1,0,,,,,,,,,,,,,,
O=C(O)CCCN1CC(c2nn[nH]n2)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,0,,,,,,,,,,,,,,
CC[C@H](C)[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0,,,,,,,,,,,,,,
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0,,,,,,,,,,,,,,
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0,,,,,,,,,,,,,,
CCCN(C)c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O,0,,,,,,,,,,,,,,
COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,0,,,,,,,,,,,,,,
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,0,,,,,,,,,,,,,,
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CSC12)c1csc(N)n1,0,,,,,,,,,,,,,,
Cc1cc(O)cc(C)c1CC(N)C(=O)NCCCCNC(=O)C(N)Cc1c(C)cc(O)cc1C,,,,,,,,,,,,0,,,
CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O,0,,,,,,,,,,,,,,
O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,0,,,,,,,,,,,,,,
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,,0,0,0,0,0,,,,,,,,,
N=C(N)SCc1cc(F)ccc1Sc1ccc([N+](=O)[O-])cc1CSC(=N)N,0,,,,,,,,,,,,,,
N=C(N)SCc1cc(F)ccc1Sc1cc(F)c(F)cc1CSC(=N)N,0,,,,,,,,,,,,,,
N=C(N)SCc1cc(F)ccc1Oc1ccc(F)cc1CSC(=N)N,0,,,,,,,,,,,,,,
CC(C)(C)CCn1nc(CC(C)(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,0,,,,,,,,,,,,,,
C[C@@H]1O[C@@H](O[C@@H]2C(=O)c3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,0,,,,,,,,,,,,,,
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0,,,,,,,,,,,,,,
Cn1ncc(-c2ccc(F)cc2)c(-c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)c1=O,0,,,,,,,,,,,,,,
O=C(O)CCCN1CC(c2nn[nH]n2)Oc2c(/C=C/c3ccc(OCCCCc4ccccc4)cc3)cccc21,0,,,,,,,,,,,,,,
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,0,,,,,,,,,,,,,,
O=C(O)CCCN1CCOc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,,,,,,,,,,,,0,,,
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)CN(C)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0,,,,,,,,,,,,,,
O=C(O)CCCN1CC(C(=O)O)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,0,,,,,,,,,,,,,,
OC[C@H]1O[C@H](Oc2ccc(-c3ccc(-c4nn[nH]n4)cc3)cc2)[C@@H](O)[C@@H](O)[C@@H]1O,0,,,,,,,,,,,,,,
O=C(/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,0,,,,,,,,,,,,,,
Cc1ccnc2[nH]c(Cc3nc4ccc(/C(N)=N\O)cc4[nH]3)nc12,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C(=O)OC4CC4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
O=C(O)CN1C(=O)[C@@]2(NC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c2cc(Cl)ccc21,0,,,,,,,,,,,,,,
CSc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CNC[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CC(=O)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CC(Nc1ccc(F)cc1)c1cc(C(=O)NCCN(C)C)cn2c(=O)cc(N3CCOCC3)nc12,0,,,,,,,,,,,,,,
Cc1c(Cc2ccccc2Cc2ccccc2)c2c(n1CC(=O)O)CCNC2=O,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CN(C(=O)c4ccco4)CC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
C[C@@H](O)[C@@H]1NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C(=O)C4CC4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)c2csc1n2,0,,,,,,,,,,,,,,
N#Cc1cccnc1N1CCN(C(=O)c2cccc(C(N)c3nnc(O)c4ccccc34)c2)CC1,0,,,,,,,,,,,,,,
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(N(C)S(C)(=O)=O)ccc3N2)c1=O,0,,,,,,,,,,,,,,
CC(=O)N1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,0,,,,,,,,,,,,,,
CSc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CNCC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(C(=O)N[C@@H]3CCNC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(S(C)(=O)=O)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,0,,,,,,,,,,,,,,
CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,0,,,,,,,,,,,,,,
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(C1=C(O)C3CCCN3N(Cc3ccc(F)cc3)C1=O)=N2,,,,,,,,,,,,0,,,
C=CC1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)P(=O)(O)O,0,,,,,,,,,,,,,,
CC(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2CCCN21,0,,,,,,,,,,,,,,
CN(Cc1cccc2c1S(=O)(=O)N/C2=C1/C(=O)[C@H](C(C)(C)C)N(Cc2ccc(F)c(Cl)c2)C1=O)S(C)(=O)=O,0,,,,,,,,,,,,,,
CS(=O)(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,0,,,,,,,,,,,,,,
Cc1c(/C=C/C(=O)NCC(=O)O)oc2ccc(Cl)c(C(=O)Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c12,0,,,,,,,,,,,,,,
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@@H]1C(=O)O,0,,,,,,,,,,,,,,
C=CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)Nc1ccccc1C(=O)NS(=O)(=O)CCCC=C)c1ccc(Oc2cc(OC)nc(-c3ccccc3)n2)cc1,0,,,,,,,,,,,,,,
C=CCCCS(=O)(=O)NC(=O)c1ccccc1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(OC)nc(-c3ccccc3)n2)cc1,0,,,,,,,,,,,,,,
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,0,,,,,,,,,,,,,,
N=C(N)SCc1ccccc1Sc1ccc(F)cc1CSC(=N)N,0,,,,,,,,,,,,,,
N=C(N)SCc1cc(F)ccc1Oc1cc(F)ccc1CSC(=N)N,0,,,,,,,,,,,,,,
COc1ccc(CC(=O)/N=C(\N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(-c3nn[nH]n3)cc2)cc1OC,0,,,,,,,,,,,,,,
COc1cc(Oc2ccc(C3NC(=O)[C@H](NC(=O)OC(C)(C)C)CCCCC/C=C/CCCS(=O)(=O)NC(=O)c4ccccc4NC3=O)cc2)nc(-c2ccccc2)n1,0,,,,,,,,,,,,,,
CC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(N)=O,0,,,,,,,,,,,,,,
CC(C)=CCC[C@](C)(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,,,,,,,,,,,,0,,,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0,,,,,,,,,,,,,,
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C1=O,,,,,,,,,,,,0,,,
Cc1ccc(CCNc2ncc(C)n(CC(=O)N(C)CCON=C(N)N)c2=O)cc1,0,,,,,,,,,,,,,,
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0,,,,,,,,,,,,,,
